0 0 cost_x, cost_check ( 0 0 0 2 1 1 ) x-i 0
0 2 cost_x, cost_check ( 0 0 1 2 1 1 ) x-i 0
0 4 cost_x, cost_check ( 0 0 2 2 1 1 ) x-i 0
0 6 cost_x, cost_check ( 0 0 3 2 1 1 ) x-i 0
0 8 cost_x, cost_check ( 0 0 4 2 1 1 ) x-i 0
0 10 cost_x, cost_check ( 0 0 5 2 1 1 ) x-i 0
0 12 cost_x, cost_check ( 0 0 6 2 1 1 ) x-i 0
0 14 cost_x, cost_check ( 0 0 7 2 1 1 ) x-i 0
0 16 cost_x, cost_check ( 0 0 8 2 1 1 ) x-i 0
0 18 cost_x, cost_check ( 0 0 9 2 1 1 ) x-i 0
0 20 cost_x, cost_check ( 0 0 10 2 1 1 ) x-i 0
0 1 cost_x, cost_check ( 0 1 1 2 1 1 ) x-i 0
0 3 cost_x, cost_check ( 0 1 2 2 1 1 ) x-i 0
0 5 cost_x, cost_check ( 0 1 3 2 1 1 ) x-i 0
0 7 cost_x, cost_check ( 0 1 4 2 1 1 ) x-i 0
0 9 cost_x, cost_check ( 0 1 5 2 1 1 ) x-i 0
0 11 cost_x, cost_check ( 0 1 6 2 1 1 ) x-i 0
0 13 cost_x, cost_check ( 0 1 7 2 1 1 ) x-i 0
0 15 cost_x, cost_check ( 0 1 8 2 1 1 ) x-i 0
0 17 cost_x, cost_check ( 0 1 9 2 1 1 ) x-i 0
0 19 cost_x, cost_check ( 0 1 10 2 1 1 ) x-i 0
0 2 cost_x, cost_check ( 0 2 2 2 1 1 ) x-i 0
0 4 cost_x, cost_check ( 0 2 3 2 1 1 ) x-i 0
0 6 cost_x, cost_check ( 0 2 4 2 1 1 ) x-i 0
0 8 cost_x, cost_check ( 0 2 5 2 1 1 ) x-i 0
0 10 cost_x, cost_check ( 0 2 6 2 1 1 ) x-i 0
0 12 cost_x, cost_check ( 0 2 7 2 1 1 ) x-i 0
0 14 cost_x, cost_check ( 0 2 8 2 1 1 ) x-i 0
0 16 cost_x, cost_check ( 0 2 9 2 1 1 ) x-i 0
0 18 cost_x, cost_check ( 0 2 10 2 1 1 ) x-i 0
0 3 cost_x, cost_check ( 0 3 3 2 1 1 ) x-i 0
0 5 cost_x, cost_check ( 0 3 4 2 1 1 ) x-i 0
0 7 cost_x, cost_check ( 0 3 5 2 1 1 ) x-i 0
0 9 cost_x, cost_check ( 0 3 6 2 1 1 ) x-i 0
0 11 cost_x, cost_check ( 0 3 7 2 1 1 ) x-i 0
0 13 cost_x, cost_check ( 0 3 8 2 1 1 ) x-i 0
0 15 cost_x, cost_check ( 0 3 9 2 1 1 ) x-i 0
0 17 cost_x, cost_check ( 0 3 10 2 1 1 ) x-i 0
0 4 cost_x, cost_check ( 0 4 4 2 1 1 ) x-i 0
0 6 cost_x, cost_check ( 0 4 5 2 1 1 ) x-i 0
0 8 cost_x, cost_check ( 0 4 6 2 1 1 ) x-i 0
0 10 cost_x, cost_check ( 0 4 7 2 1 1 ) x-i 0
0 12 cost_x, cost_check ( 0 4 8 2 1 1 ) x-i 0
0 14 cost_x, cost_check ( 0 4 9 2 1 1 ) x-i 0
0 16 cost_x, cost_check ( 0 4 10 2 1 1 ) x-i 0
0 5 cost_x, cost_check ( 0 5 5 2 1 1 ) x-i 0
0 7 cost_x, cost_check ( 0 5 6 2 1 1 ) x-i 0
0 9 cost_x, cost_check ( 0 5 7 2 1 1 ) x-i 0
0 11 cost_x, cost_check ( 0 5 8 2 1 1 ) x-i 0
0 13 cost_x, cost_check ( 0 5 9 2 1 1 ) x-i 0
0 15 cost_x, cost_check ( 0 5 10 2 1 1 ) x-i 0
0 6 cost_x, cost_check ( 0 6 6 2 1 1 ) x-i 0
0 8 cost_x, cost_check ( 0 6 7 2 1 1 ) x-i 0
0 10 cost_x, cost_check ( 0 6 8 2 1 1 ) x-i 0
0 12 cost_x, cost_check ( 0 6 9 2 1 1 ) x-i 0
0 14 cost_x, cost_check ( 0 6 10 2 1 1 ) x-i 0
0 7 cost_x, cost_check ( 0 7 7 2 1 1 ) x-i 0
0 9 cost_x, cost_check ( 0 7 8 2 1 1 ) x-i 0
0 11 cost_x, cost_check ( 0 7 9 2 1 1 ) x-i 0
0 13 cost_x, cost_check ( 0 7 10 2 1 1 ) x-i 0
0 8 cost_x, cost_check ( 0 8 8 2 1 1 ) x-i 0
0 10 cost_x, cost_check ( 0 8 9 2 1 1 ) x-i 0
0 12 cost_x, cost_check ( 0 8 10 2 1 1 ) x-i 0
0 9 cost_x, cost_check ( 0 9 9 2 1 1 ) x-i 0
0 11 cost_x, cost_check ( 0 9 10 2 1 1 ) x-i 0
0 10 cost_x, cost_check ( 0 10 10 2 1 1 ) x-i 0
0 1 cost_x, cost_check ( 1 1 1 2 1 1 ) x-i 1
1 2 cost_x, cost_check ( 1 1 2 2 1 1 ) x-i 0
1 4 cost_x, cost_check ( 1 1 3 2 1 1 ) x-i 0
1 6 cost_x, cost_check ( 1 1 4 2 1 1 ) x-i 0
1 8 cost_x, cost_check ( 1 1 5 2 1 1 ) x-i 0
1 10 cost_x, cost_check ( 1 1 6 2 1 1 ) x-i 0
1 12 cost_x, cost_check ( 1 1 7 2 1 1 ) x-i 0
1 14 cost_x, cost_check ( 1 1 8 2 1 1 ) x-i 0
1 16 cost_x, cost_check ( 1 1 9 2 1 1 ) x-i 0
1 18 cost_x, cost_check ( 1 1 10 2 1 1 ) x-i 0
0 2 cost_x, cost_check ( 1 2 2 2 1 1 ) x-i 1
1 3 cost_x, cost_check ( 1 2 3 2 1 1 ) x-i 0
1 5 cost_x, cost_check ( 1 2 4 2 1 1 ) x-i 0
1 7 cost_x, cost_check ( 1 2 5 2 1 1 ) x-i 0
1 9 cost_x, cost_check ( 1 2 6 2 1 1 ) x-i 0
